,3.9|Alpine,3.9|FreeBSD,3.9|Manjaro,3.9|Ubuntu,3.10|Alpine,3.10|FreeBSD,3.10|Manjaro,3.10|Ubuntu,3.11|Alpine,3.11|FreeBSD,3.11|Manjaro,3.11|Ubuntu,3.12|Alpine,3.12|FreeBSD,3.12|Manjaro,3.12|Ubuntu,3.13|Alpine,3.13|FreeBSD,3.13|Manjaro,3.13|Ubuntu
consumption|RPi3B+|σ,1.4960577735516942,12.12062697030814,2.1009098643566384,8.638144340510836,1.7249273413090385,30.229819991057113,14.781435212989503,1.2905115654693253,0.8085227461439217,9.523535761818735,2.0259348320715738,124.367030131261,18.234720400027562,13.157389766665755,1.2828958234296937,1.7680737610668784,1.1803619519076711,35.622084895656194,2.1834688731404577,19.307521220656163
duration|RPi4B|q0,327.447,348.364,290.193,364.082,323.942,353.152,283.725,361.328,277.434,279.835,237.13,301.609,271.348,281.854,237.694,298.145,302.187,290.381,241.005,296.699
duration|RPi4B|q1,337.072,348.85325,290.58575,367.0865,330.6415,353.32099999999997,283.83549999999997,365.7295,280.95875,288.43225,237.24474999999998,307.743,278.8215,285.19575,237.97224999999997,302.693,308.9345,291.0145,241.10275,298.1185
duration|RPi4B|q2,340.0985,349.164,290.679,372.841,334.52049999999997,353.962,283.89,368.351,287.4,288.69,237.312,312.4495,279.5525,290.927,238.085,304.23249999999996,311.022,291.202,241.23000000000002,299.8365
duration|RPi4B|q3,348.09975,349.364,290.706,375.34125,341.85825,354.14,283.9535,373.159,290.5905,288.8005,237.51675,313.97675,280.727,291.362,238.1855,305.23175000000003,313.3885,291.421,241.3955,303.86975
duration|RPi4B|q4,386.519,349.598,302.387,378.972,344.315,354.468,291.008,377.979,303.048,289.653,244.453,318.69,284.077,291.578,238.286,305.736,319.324,294.354,242.542,308.227
duration|RPi4B|μ,345.2323,349.0972,291.77959999999996,371.6703,335.0162,353.8014,284.60269999999997,369.05060000000003,287.33689999999996,287.82820000000004,238.04520000000002,311.4243,279.479,288.54130000000004,238.0486,303.4861,310.59790000000004,291.4397,241.3466,301.26820000000004
duration|RPi4B|σ,16.12548702485878,0.36693196462923694,3.7304702473906253,5.258587073645455,7.3591707534054205,0.4734849991757369,2.2534446249636906,5.337205806620379,7.718968935896382,2.8441959535556394,2.256095437303624,5.678881346219911,3.453242019384741,4.252799497585874,0.18586805355772046,2.3589750340160696,5.2063325212881075,1.102270691698627,0.4450813159162931,4.264312626646617
draw|RPi4B|q0,2.594805105807017,2.7724382542398183,2.4705777034065615,2.396266241305426,2.5981455192319434,2.770468831619875,2.481190998185617,2.4043767674042096,2.571385820068108,2.7600187315195037,2.473330210715352,2.3866555900718565,2.6100681505366503,2.7507482937983894,2.4754286505934067,2.402538301017872,2.6468494381881724,2.7422801522820026,2.4671020276900495,2.4219939409289273
draw|RPi4B|q1,2.6088027628747765,2.7745545897830515,2.488326768900569,2.415095748640577,2.6087791767454904,2.7710458497485613,2.4884795311575436,2.4112592896395744,2.59740068339716,2.760738000773971,2.4883237786858112,2.3993071811283713,2.625358420717543,2.7522218011822526,2.4805226093427017,2.427565965630778,2.6499367300001984,2.7431366478385026,2.4781485635722422,2.4287423297074526
draw|RPi4B|q2,2.630038303193631,2.7751273839631585,2.4884675415237574,2.4237653467369924,2.6273422101559545,2.7714000614154415,2.4904890757463276,2.4164526642144555,2.607336934284106,2.7610341546564854,2.4886775351951314,2.4028549416235156,2.629064835154285,2.7539641980171856,2.4806898829980955,2.4303720511424416,2.6619513808441333,2.7444149656443786,2.47871101155119,2.4447813400130114
draw|RPi4B|q3,2.6381317885285194,2.7754261805965657,2.4890440272836343,2.4394270612245568,2.643461856022816,2.771536201218292,2.492820285484187,2.4224042009497446,2.641193641867103,2.7615607655013332,2.4887103472295995,2.4066281524662836,2.6338166200747954,2.7542375076475385,2.481132834059024,2.4364205667331973,2.6647825477100207,2.745638087459171,2.478774624335949,2.451317950870464
draw|RPi4B|q4,2.6695672887520727,2.776641563199674,2.4950327681050233,2.4716604137576748,2.6637719406560434,2.7735147471910113,2.493232841384316,2.4235889275118456,2.6574609437941543,2.763187332423426,2.489109641023046,2.411988369047343,2.6366880900573646,2.7550144755795554,2.4813730057944445,2.446566771201932,2.683333796622621,2.747022776777941,2.4832282732723385,2.4811637296378963
draw|RPi4B|μ,2.6265971190781423,2.774843381338799,2.4876681562419405,2.429265242778146,2.628901859679158,2.7715149948943845,2.489924526672225,2.415915144723131,2.6152465260775073,2.761240242341979,2.4866104472570933,2.4023013946611407,2.627339915524749,2.753351571604706,2.4798232706641996,2.4298494984672434,2.661160538426649,2.744455765922466,2.477427402889812,2.443739720771215
draw|RPi4B|σ,0.0227505641951444,0.0011660326368952622,0.006375200088210935,0.023657242307068185,0.02358440487799514,0.0008366250150300679,0.0036923486560533716,0.007237166175877793,0.029623634076383153,0.0008725864635973584,0.004980490021832563,0.00749326287301015,0.008508554218467704,0.0014660190076214207,0.002322667031332675,0.011696092946807176,0.012719626266362706,0.0015536642568402701,0.0043664637981995795,0.018159487020089092
consumption|RPi4B|q0,874.1418,965.81768,722.08443,887.18095,862.90761,978.90497,706.23606,875.71054,736.74658,772.57459,589.26081,727.4774,714.70108,776.51185,589.64958,729.43165,810.86859,797.30099,596.12425,721.22521
consumption|RPi4B|q1,890.2846225,968.42489,723.26247,900.0524849999999,873.468195,979.5286925,706.6841525,883.1034824999999,741.25296,796.523175,590.3663525,739.8388150000001,733.497585,784.752665,589.86977,735.12105,822.5124874999999,798.4033099999999,597.7633,730.673835
consumption|RPi4B|q2,894.91108,969.09193,723.463565,905.23008,878.89489,980.8835650000001,707.3535899999999,888.534885,748.6331749999999,797.1349749999999,590.509595,752.4581000000001,735.289035,801.228415,590.4502849999999,738.773005,826.544805,799.186945,598.112915,734.31802
consumption|RPi4B|q3,908.6062475,969.2196725,723.7200925,907.6775475,890.98381,981.2121374999999,707.7790325,900.9137375,756.9463049999999,797.5310275,591.1019625,754.0316875000001,737.2616925,801.8043275,590.6157175,739.7387100000001,831.4035025,799.7707975000001,598.33811,744.2672600000001
consumption|RPi4B|q4,1004.87485,970.07353,747.07058,912.76292,897.4393,982.39363,722.04643,912.94861,779.25333,799.72878,604.61299,762.87788,741.46033,802.86692,591.11771,741.82898,845.20255,807.74951,598.56661,746.95418
consumption|RPi4B|μ,906.5340119999998,968.6901149999998,725.830716,902.804132,880.5701929999999,980.56568,708.632981,891.5854750000001,751.272099,794.7630449999999,591.916241,748.1095389999999,734.26667,794.4545310000001,590.318246,737.406018,826.495147,799.842869,597.9173049999999,736.181855
consumption|RPi4B|σ,36.4669871268451,1.1535564425843097,7.5035366006365996,8.749800355639593,11.601762982834446,1.1672728858992392,4.7496275384320645,12.45265603659204,13.01178784539401,7.882939991963325,4.49684946115598,12.211785080495382,7.478519337041983,11.63453067249331,0.4905046272790937,3.693460833153641,10.279052790228876,2.9110652404897754,0.7048982737837757,8.57396504616446
